SUBS_KEY,TARGET,OG_MOU_F4,IC_MOU_F4,OG_CALLS_F4,IC_CALLS_F4,RCHG_AMOUNT_F4,CNT_RCHG_F4,AVG_MBL_F4,IC_OG_RATIO_F4,OG_MOU_F7,IC_MOU_F7,OG_CALLS_F7,IC_CALLS_F7,RCHG_AMOUNT_F7,CNT_RCHG_F7,AVG_MBL_F7,IC_OG_RATIO_F7,OG_MOU_F10,IC_MOU_F10,OG_CALLS_F10,IC_CALLS_F10,RCHG_AMOUNT_F10,CNT_RCHG_F10,AVG_MBL_F10,IC_OG_RATIO_F10,DS_IC_MOU_F4,DS_IC_MOU_F7,DS_IC_MOU_F10,DS_OG_MOU_F4,DS_OG_MOU_F7,DS_OG_MOU_F10,DS_OG_CALLS_F4,DS_OG_CALLS_F7,DS_OG_CALLS_F10,DS_IC_CALLS_F4,DS_IC_CALLS_F7,DS_IC_CALLS_F10,DS_RCHG_MRP_F4,DS_RCHG_MRP_F7,DS_RCHG_MRP_F10,DS_RCHG_MRP_F4_EX1,DS_RCHG_MRP_F7_EX1,DS_RCHG_MRP_F10_EX1,SUBS_ACTIVATION_DT,ACTIVATION_DT,DAY_END_MBL_F4,DAY_END_MBL_F7,DAY_END_MBL_F10,SLP_MBL_F4,SLP_MBL_F7,SLP_MBL_F10,SLP_OGMOU_F4,SLP_OGMOU_F7,SLP_OGMOU_F10,SLP_ICMOU_F4,SLP_ICMOU_F7,SLP_ICMOU_F10,SD_MBL_F4,SD_MBL_F7,SD_MBL_F10,SD_OGMOU_F4,SD_OGMOU_F7,SD_OGMOU_F10,SD_ICMOU_F4,SD_ICMOU_F7,SD_ICMOU_F10,MAX_MBL_F4_EX1,MAX_MBL_F7_EX1,MAX_MBL_F10_EX1,MAX_MBL_F4,MAX_MBL_F7,MAX_MBL_F10,MAX_MRP_HIGH_AMT_F4,MAX_MRP_HIGH_AMT_F7,MAX_MRP_HIGH_AMT_F10,CNT_VLR_INS_F4,CNT_VLR_INS_F7,CNT_VLR_INS_F10,CNT_STD_INS_F4,CNT_STD_INS_F7,CNT_STD_INS_F10,CNT_STD_OG_INS_F4,CNT_STD_OG_INS_F7,CNT_STD_OG_INS_F10,CNT_STD_IC_INS_F4,CNT_STD_IC_INS_F7,CNT_STD_IC_INS_F10,CNT_ROAM_INS_F4,CNT_ROAM_INS_F7,CNT_ROAM_INS_F10,CNT_SMS_INS_F4,CNT_SMS_INS_F7,CNT_SMS_INS_F10,CNT_DEC_INS_F4,CNT_DEC_INS_F7,CNT_DEC_INS_F10,AVG_NIG_USG_F4,AVG_NIG_USG_F7,AVG_NIG_USG_F10,AVG_STD_USG_F4,AVG_STD_USG_F7,AVG_STD_USG_F10,DND,DND_INFO,CHG_IC_MOU_L5_F5,USAGE_SPREAD,SUM_RCHG_MRP_L10,TARGET_21_30
623576671,0,0,7.37,38,21,18,1,17.35,999,0,13.08,46,34,18,1,13.31,999,0,15.07,53,41,18,1,11.12,999,0,0,0,19,19,19,0,0,0,0,0,0,0,0,0,19,19,19,41701,3,9.6,6.52,5.74,-3.98,-2.82,-1.89,0,0,0,0.92,0.13,-0.12,5.49,6.41,6.31,0,0,0,1.75,1.7,1.52,20.63,20.63,20.63,21.79,21.79,21.79,18,18,18,4,7,10,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.22,18,0
623576672,1,85.43,0.22,8,2,98,4,1.85,0,116.8,0.22,15,2,108,5,2.08,0,195.35,0.22,23,2,138,7,2.64,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,41701,3,3.1,0.8,0.21,0.42,0.04,0.11,-12.19,-5.1,-0.41,-0.02,-0.02,-0.01,0.85,1.47,3.43,29.47,22.15,19.39,0.11,0.08,0.07,3.1,5,11.51,3.1,5,11.51,30,30,30,4,7,10,2,5,8,2,5,8,0,0,0,0,0,0,1,1,1,3,6,9,0,0,0,0,0,0,0,0,-1,0.22,138,0
623576673,0,5.63,4.47,5,4,371,2,116.39,0.79,8.27,4.47,9,4,371,2,115.06,0.54,11.55,5.97,13,6,371,2,113.7,0.52,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,19,19,19,41701,3,114.93,112.56,109.61,-1.39,-0.96,-0.94,-0.39,-0.19,-0.08,0.25,-0.19,-0.1,2.03,2.23,2.95,1.66,1.22,1.27,1.64,1.31,1.1,115.88,115.88,115.88,119.39,119.39,119.39,261,261,261,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,9,0,0,0,0,0,0,0,0,-0.66,0.22,371,0
623576687,0,10.55,0.67,10,1,31,2,19,0.06,37.52,0.67,15,1,31,2,11.07,0.02,37.52,0.67,15,1,31,2,7.89,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,41701,3,16.67,0.49,0.49,-1.77,-4.28,-2.8,-0.06,0.39,-0.55,-0.2,-0.07,-0.04,2.51,10.05,9.67,3.19,9.87,8.46,0.33,0.25,0.21,21.17,21.17,21.17,21.17,21.17,21.17,18,18,18,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,-1,0.08,31,1
623576689,0,42.58,9.55,29,15,58,1,51.88,0.22,85.73,21.42,41,22,58,1,44.34,0.25,116.02,44.17,63,37,58,1,36.03,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,41701,3,46.8,28.7,13.7,-4.43,-4.96,-5.29,-4.76,-0.35,-0.6,-0.33,0.3,0.51,6.2,10.86,16.14,9.79,7.65,7.52,1.03,1.24,4.25,51.1,51.1,51.1,60.8,60.8,60.8,58,58,58,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,0,0,0,0,0,0,0,0,1.21,0.28,58,0
623576690,0,7.13,6.43,9,12,0,0,0.57,0.9,44.68,15.25,32,19,103,2,16.57,0.34,65.18,24.72,58,37,103,2,19.83,0.38,0,0,0,0,0,0,0,0,0,0,0,0,19,4,4,19,3,3,41701,3,0.01,35.21,22.78,-0.68,7.6,3.85,-1.82,1.31,0.54,-0.51,-0.08,0.08,1.13,20.12,17.4,2.62,8.43,7.01,0.74,2.81,2.46,0.01,42.91,42.91,2.27,42.91,42.91,0,70,70,4,7,10,2,5,8,2,5,8,0,1,1,0,0,0,0,0,0,2,5,8,0.06,0.01,0.01,0.32,0.54,0.52,0,0,-0.32,0.34,103,0
623576695,0,11.87,3.07,8,4,18,1,7.95,0.26,11.87,4.77,8,5,18,1,4.55,0.4,11.87,4.77,8,5,18,1,3.19,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,41701,3,0.02,0.02,0.02,-6.93,-2.94,-1.57,-0.9,-0.8,-0.49,-0.01,-0.04,-0.1,9.47,7.92,6.83,4.65,3.65,3.09,0.54,0.69,0.65,12.92,12.92,12.92,18.83,18.83,18.83,18,18,18,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0.08,0.08,0.08,0,0,0,0,0,-0.45,0.12,18,0
623576716,0,0.78,0,3,0,58,1,61.1,0,89.78,9.67,44,9,58,1,53.7,0.11,109.23,15.5,59,18,58,1,44.75,0.14,19,5,5,0,0,0,0,0,0,19,5,5,0,0,0,19,19,19,41701,3,61.1,28.5,18,0,-4.86,-5.56,-0.23,7.62,1.94,0,1.02,0.46,0,13.22,18.16,0.39,21.98,18.61,0,3.52,3,61.1,61.1,61.1,61.1,61.1,61.1,58,58,58,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,0,0,0.01,0,0,0,0,0,0,0.16,58,0
623576718,0,4.38,0,3,0,58,1,18.33,0,4.38,0,3,0,58,1,10.6,0,4.38,0,3,0,58,1,7.51,0,19,19,19,1,1,1,1,1,1,19,19,19,0,0,0,19,19,19,41701,3,0.3,0.3,0.3,-20.75,-7.57,-3.88,0.34,-0.17,-0.14,0,0,0,33.18,25.36,21.3,1.87,1.45,1.22,0,0,0,4.7,4.7,4.7,68,68,68,58,58,58,4,6,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0.04,58,0
623576727,1,4.37,4.68,6,7,0,0,5.83,1.07,5.48,6.98,10,10,0,0,5.13,1.27,8.33,11,11,13,0,0,3.93,1.32,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,41701,3,4.76,3.42,0,-1.28,-0.63,-0.76,-0.6,-0.23,-0.06,-0.08,-0.14,0,2.14,1.79,2.59,1.69,1.28,1.3,1.64,1.24,1.04,4.76,4.76,4.76,9.04,9.04,9.04,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0.14,0.11,0.07,0,0,0,0,0,-0.08,0.2,0,1
623576735,0,0.62,0.32,1,1,0,0,9.07,0.51,0.62,0.32,1,1,0,0,7.86,0.51,4.12,0.32,2,1,0,0,6.54,0.08,2,2,2,3,3,3,3,3,3,2,2,2,19,19,19,19,19,19,41701,3,6.26,6.26,2.06,-1.12,-0.8,-0.88,0.18,0,0.14,0.03,-0.01,-0.01,1.87,2,2.91,0.31,0.23,1.1,0.16,0.12,0.1,10,10,10,10,10,10,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.51,0.51,0.08,0,0,0,0,0,-1,0.06,0,1
623576737,0,0,1.57,0,2,58,1,68,999,0,2.1,0,3,58,1,68,999,9.75,2.83,5,5,58,1,67.14,0.29,0,0,0,19,19,8,19,19,8,0,0,0,0,0,0,19,19,19,41701,3,68,68,63.3,0,0,-0.42,0,0,0.42,-0.47,-0.13,-0.06,0,0,1.82,0,0,3,0.78,0.59,0.5,68,68,68,68,68,68,58,58,58,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-0.19,0.12,58,0
623576738,1,4.37,20.75,8,14,67,3,12.83,4.75,4.37,20.75,8,14,67,3,12.44,4.75,4.37,20.75,8,14,67,3,12.29,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,41701,3,11.93,11.93,11.93,-1.08,-0.39,-0.2,-1.17,-0.44,-0.23,-5.91,-2.17,-1.11,1.8,1.36,1.14,1.75,1.37,1.16,9.36,7.18,6.03,11.93,11.93,11.93,15.53,15.53,15.53,29,29,29,4,6,6,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,0.13,0.13,0.13,4.73,4.73,4.73,0,0,-1,0.06,67,0
623576764,0,174.25,9.87,33,8,58,1,16.69,0.06,177.13,20.2,36,13,58,1,9.61,0.11,278.55,23.6,66,19,118,3,8.11,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,7,41701,3,1.5,0.05,6.5,-13.37,-5.94,-2.57,-21.07,-12.96,-2.6,0.17,-0.1,-0.28,18.55,15.81,13.27,31.02,31.62,29.84,1.93,3.43,2.95,15.4,15.4,15.4,43.15,43.15,43.15,58,58,58,4,7,10,4,6,8,4,6,8,1,3,4,0,0,0,0,0,0,4,6,8,0,0,0,0.36,0.37,0.29,0,0,-0.79,0.32,118,0
623576765,1,0.15,0,4,0,0,0,4.25,0,0.47,0,6,0,0,0,3.84,0,0.5,0,7,0,0,0,3.59,0,19,19,19,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,41701,3,3.8,3.2,2.9,-0.3,-0.27,-0.2,-0.02,0,-0.01,0,0,0,0.39,0.59,0.63,0.03,0.1,0.08,0,0,0,4.4,4.4,4.4,4.7,4.7,4.7,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,7,0,0,0,0,0,0,0,0,0,0.14,0,1
623576766,0,2.02,7.9,4,6,58,1,63.58,3.92,2.55,17.93,5,12,58,1,62.21,7.03,4.05,17.93,8,12,58,1,61.49,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,41701,3,60.7,60.4,59.5,-2.33,-1.1,-0.69,-0.14,-0.11,-0.02,-2.24,-0.47,-0.48,3.32,2.9,2.65,0.37,0.36,0.51,3.74,4.33,3.74,66.3,66.3,66.3,66.6,66.6,66.6,58,58,58,4,7,10,1,1,1,0,0,0,1,1,1,0,0,0,2,2,2,3,4,5,0,0,0,1.31,1.03,0.62,0,0,-1,0.1,58,0
623576769,0,0,0,0,0,47,2,23,999,0,0,0,0,47,2,23,999,0,0,0,0,47,2,23,999,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,19,19,19,41701,3,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23,23,29,29,29,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
623576781,1,0,0,1,0,58,1,67.7,999,0,0,2,0,58,1,67.44,999,0,0,2,0,58,1,67.34,999,19,19,19,19,19,19,0,0,0,19,19,19,0,0,0,19,19,19,41701,3,67.7,67.1,67.1,0,-0.13,-0.09,0,0,0,0,0,0,0,0.32,0.31,0,0,0,0,0,0,67.7,67.7,67.7,67.7,67.7,67.7,58,58,58,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,58,1
623576792,0,0,0,0,0,199,1,10,999,0,0,0,0,199,1,10,999,0,0,0,0,199,1,10,999,19,19,19,19,19,19,19,19,19,19,19,19,3,3,3,2,2,2,41701,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,199,199,199,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0
623576798,0,2.45,60.65,3,7,0,0,9.1,24.76,3.48,61.48,5,9,0,0,8.74,17.65,3.48,63.83,5,11,0,0,8.52,18.33,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,41701,3,8.8,8,8,-0.28,-0.26,-0.18,-0.3,-0.11,-0.1,5.52,-2.2,-1.75,0.38,0.59,0.6,0.43,0.48,0.46,27.05,20.72,17.35,9.2,9.2,9.2,9.6,9.6,9.6,0,0,0,4,7,10,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,3,4,4,0,0,0,45.46,31.97,31.97,0,0,-0.95,0.14,0,0
623576799,1,0,0.73,0,2,155,1,10,999,0,0.73,0,2,155,1,10,999,0,0.73,0,2,155,1,10,999,3,3,3,19,19,19,19,19,19,3,3,3,1,1,1,0,0,0,41701,3,10,10,10,0,0,0,0,0,0,0.22,0,-0.01,0,0,0,0,0,0,0.37,0.28,0.23,10,10,10,10,10,10,155,155,155,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,-1,0.02,155,0
623576802,1,0,0,0,0,0,0,10,999,0,0,0,0,0,0,10,999,0,0,0,0,0,0,10,999,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,41701,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623576813,1,8.6,0.8,13,3,18,1,14.28,0.09,8.6,0.8,13,3,18,1,11.52,0.09,8.6,0.8,13,3,18,1,10.41,0.09,3,3,3,0,0,0,0,0,0,3,3,3,0,0,0,19,19,19,41701,3,7.84,7.84,7.84,-5.15,-2.3,-1.25,-0.67,-0.58,-0.35,0.24,0,-0.01,7.43,6.28,5.43,2.51,2.12,1.83,0.4,0.3,0.25,20.71,20.71,20.71,20.71,20.71,20.71,18,18,18,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,0,0,0,0,0,0,0,0,-1,0.06,18,1
623576823,1,0.98,0.83,1,1,1920,3,227.56,0.85,0.98,0.83,1,1,1920,3,227.15,0.85,0.98,0.83,1,1,1920,3,226.99,0.85,1,1,1,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,41701,3,226.62,226.62,226.62,-0.95,-0.37,-0.19,0.1,-0.04,-0.03,-0.08,-0.06,-0.04,1.36,1.09,0.92,0.49,0.37,0.31,0.42,0.31,0.26,227.5,227.5,227.5,229.5,229.5,229.5,1495,1495,1495,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,-1,0.04,1920,0
623576825,0,9.65,14.4,12,10,48,1,54.91,1.49,45.25,122.2,46,57,48,1,46.95,2.7,48.2,185.05,52,92,48,1,40.13,3.84,3,3,3,0,0,0,0,0,0,3,3,3,0,0,0,19,19,19,41701,3,47.86,25.78,23.01,-2.82,-5.19,-4.68,2.33,2.97,0.31,4.32,8.95,3.61,4.7,11.95,14.7,4.23,7.31,6.53,7.2,20.68,17.84,57.26,57.26,57.26,57.26,57.26,57.26,48,48,48,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,8,0,0,0,0,0,0,0,0,3.75,0.2,48,0
623576826,1,0,0,0,0,0,0,1,999,0,0,0,0,0,0,1,999,0,0,0,0,0,0,1,999,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,41701,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
623576827,0,213.15,7.85,45,11,393,6,26.65,0.04,272.55,15.67,78,23,463,7,38.46,0.06,530.5,16.5,102,25,463,7,48.87,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41701,3,47.54,90.91,54.17,20.12,11.2,7.85,18.71,-4.65,7.15,1.15,0.42,-0.11,31.04,32.48,32.33,41.76,35.17,69.56,1.89,1.9,1.82,58.92,90.91,90.91,58.92,90.91,90.91,175,175,175,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,4,7,10,0.01,0.02,0.09,0,0,0,0,0,0,0.4,463,0
623576828,0,1.73,0.15,2,1,58,1,24.97,0.09,1.73,0.15,2,1,58,1,14.58,0.09,2.3,0.82,3,3,58,1,10.32,0.36,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,19,19,19,41701,3,0.72,0.72,0.12,-19.4,-8.66,-4.75,-0.16,-0.12,-0.05,0.02,-0.01,0.03,28,23.67,20.5,0.5,0.42,0.38,0.08,0.06,0.21,49.22,49.22,49.22,49.22,49.22,49.22,58,58,58,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,3.44,0.08,58,1
623576829,0,4.32,0,3,0,58,1,66.75,0,31.07,65.05,18,21,58,1,62.7,2.09,44.58,140.22,31,40,58,1,57.47,3.15,19,4,4,3,3,3,3,3,3,19,4,4,0,0,0,19,19,19,41701,3,64.5,51.7,43.9,-1.2,-2.61,-3.14,1.29,2.24,0.68,0,5.26,3.46,1.66,6.01,9.78,2.16,5.25,4.62,0,12.81,14.55,68,68,68,68,68,68,58,58,58,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,8,0,0.54,0.37,0,0,0,0,0,7.22,0.22,58,0
