Brand,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price
Realme,5000,6.5,Yes,720,1600,8,4000,64,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,9999
Realme,4000,6.4,Yes,1080,2340,8,4000,64,64,32,Android,Yes,Yes,Yes,2,Yes,Yes,16999
Vivo,4100,6.44,Yes,1080,2400,8,8000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,26220
Nubia,5000,6.65,Yes,1080,2340,8,8000,128,48,16,Android,Yes,Yes,No,2,Yes,Yes,47999
Samsung,6000,6.4,Yes,1080,2340,8,4000,64,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,12999
Vivo,4500,6.38,Yes,1080,2340,8,4000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,15990
Oppo,4000,6.53,Yes,1080,2340,8,8000,256,48,16,Android,Yes,Yes,No,1,No,No,23100
Realme,4000,6.4,Yes,1080,2340,8,4000,64,64,16,Android,Yes,Yes,Yes,2,Yes,Yes,14999
Xiaomi,4500,6.53,Yes,1080,2340,8,6000,64,64,20,Android,Yes,Yes,Yes,2,Yes,Yes,13999
Nokia,3500,6.3,Yes,1080,2340,8,4000,64,48,20,Android,Yes,Yes,No,2,Yes,Yes,15377
Samsung,4000,6.4,Yes,1080,2340,8,4000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,16650
Realme,4035,6.3,Yes,1080,2340,8,4000,64,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,11999
Realme,5000,6.5,Yes,720,1600,8,3000,32,12,13,Android,Yes,Yes,Yes,2,Yes,Yes,8600
Vivo,5000,6.53,Yes,1080,2340,8,4000,64,16,32,Android,Yes,Yes,Yes,2,Yes,Yes,12990
Xiaomi,4030,6.08,Yes,720,1560,8,4000,64,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,11845
Asus,5000,6.4,Yes,1080,2340,8,6000,64,48,48,Android,Yes,Yes,Yes,2,Yes,Yes,27999
Samsung,3500,6.3,Yes,1080,2340,8,6000,128,32,16,Android,Yes,Yes,Yes,2,Yes,Yes,16879
Xiaomi,4000,6.3,Yes,1080,2340,8,3000,32,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,8649
Motorola,3500,6.3,Yes,1080,2520,8,4000,128,48,25,Android,Yes,Yes,Yes,2,Yes,Yes,13690
Nubia,5000,6.65,Yes,1080,2340,8,8000,128,48,16,Android,Yes,Yes,No,2,Yes,Yes,35999
Oppo,4020,6.53,Yes,1080,2340,8,4000,128,16,16,Android,Yes,Yes,No,2,Yes,Yes,11990
Google,3700,6,Yes,1080,2160,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,34999
Samsung,4500,6.7,Yes,1080,2400,8,6000,128,32,32,Android,Yes,Yes,Yes,2,Yes,Yes,22299
Black Shark,4000,6.39,Yes,1080,2340,8,6000,128,48,20,Android,Yes,Yes,Yes,2,Yes,Yes,29999
OnePlus,3700,6.41,Yes,1080,2340,8,6000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,29999
LG,3550,6.2,Yes,1080,2248,8,6000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,39990
Vivo,3700,6.39,Yes,1080,2340,8,6000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,17973
Xiaomi,4000,6.3,Yes,1080,2340,8,3000,32,12,13,Android,Yes,Yes,Yes,2,Yes,Yes,9699
Xiaomi,4000,6.26,Yes,720,1520,8,2000,16,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,7332
Samsung,5000,6.3,Yes,1080,2340,8,3000,32,13,8,Android,No,Yes,Yes,2,Yes,Yes,9999
Samsung,5000,6.4,Yes,1080,2340,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,9499
Honor,4000,6.4,Yes,1080,2310,8,6000,128,48,25,Android,Yes,Yes,Yes,1,No,No,25120
Asus,5000,6.26,Yes,1080,2280,8,3000,32,12,13,Android,Yes,Yes,Yes,2,Yes,Yes,11999
Google,3000,5.6,Yes,1080,2220,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,30999
Realme,3500,6.3,Yes,1080,2340,8,3000,32,13,25,Android,Yes,Yes,Yes,2,Yes,Yes,8999
Honor,3400,6.21,Yes,1080,2340,8,3000,32,13,24,Android,Yes,Yes,Yes,2,Yes,Yes,7999
Nokia,3500,6.18,Yes,1080,2244,8,4000,64,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,18000
Samsung,3800,6.3,Yes,1080,2220,8,6000,128,24,24,Android,Yes,Yes,Yes,2,Yes,Yes,22000
Oppo,3600,6.41,Yes,1080,2340,8,4000,64,16,25,Android,Yes,Yes,Yes,1,No,No,9990
Nokia,3060,5.84,Yes,1080,2280,8,4000,64,12,8,Android,Yes,Yes,Yes,2,No,No,11900
Realme,3500,6.3,Yes,1080,2340,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,11770
Vivo,3260,6.3,Yes,1080,2280,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,16490
Samsung,3300,6,Yes,1080,2220,8,4000,64,24,24,Android,Yes,Yes,Yes,2,No,Yes,16490
Xiaomi,4000,6.26,Yes,1080,2280,8,4000,64,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,9580
Vivo,3400,6.41,Yes,1080,2340,8,6000,64,12,25,Android,Yes,Yes,Yes,2,Yes,Yes,14990
Oppo,3700,6.4,Yes,1080,2340,8,8000,128,12,25,Android,Yes,Yes,Yes,2,Yes,Yes,21299
Nokia,3060,5.86,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6999
Honor,3750,6.5,Yes,1080,2340,8,4000,64,20,16,Android,Yes,Yes,Yes,2,Yes,Yes,9999
Poco,4000,6.18,Yes,1080,2246,8,6000,64,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,14990
Nokia,3060,5.8,Yes,1080,2280,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,8999
Vivo,4000,6.59,Yes,1080,2316,8,8000,128,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,29999
Oppo,3730,6.42,Yes,1080,2340,8,8000,256,16,25,Android,Yes,Yes,Yes,2,Yes,Yes,59090
Honor,3750,6.3,Yes,1080,2340,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,18011
Realme,3410,6,Yes,1080,2160,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,10299
Xiaomi,3000,5.99,Yes,1080,2160,8,4000,64,12,20,Android,Yes,Yes,Yes,2,Yes,Yes,8990
Honor,3400,5.84,Yes,1080,2280,8,6000,128,16,24,Android,Yes,Yes,Yes,2,Yes,Yes,16990
Oppo,3400,6.23,Yes,1080,2280,8,4000,64,16,25,Android,Yes,Yes,Yes,2,Yes,Yes,18990
Vivo,3200,6.28,Yes,1080,2280,8,6000,64,12,12,Android,Yes,Yes,Yes,2,Yes,Yes,18290
Nokia,3260,5.5,Yes,1440,2560,8,6000,128,12,5,Android,Yes,Yes,Yes,1,Yes,Yes,13999
Infinix,4000,5.65,Yes,720,1440,8,3000,32,13,20,Android,Yes,Yes,Yes,2,Yes,Yes,9999
Nokia,3000,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,8849
Honor,3750,5.99,Yes,1080,2160,8,6000,128,16,13,Android,Yes,Yes,Yes,2,Yes,Yes,15899
Infinix,4350,5.98,Yes,1080,1920,8,6000,128,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,15900
Oppo,3200,6,Yes,1080,2160,8,4000,32,16,20,Android,Yes,Yes,Yes,2,Yes,Yes,10499
OnePlus,3300,6.01,Yes,1080,2160,8,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,28499
Honor,3340,5.9,Yes,1080,2160,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,8999
Xiaomi,3400,5.99,Yes,1080,2160,8,6000,64,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,29999
Lenovo,4000,5.2,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6990
Xiaomi,3080,5.5,Yes,1080,1920,8,4000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999
Sony,2700,5.2,Yes,1080,1920,8,4000,32,19,13,Android,Yes,Yes,Yes,2,Yes,Yes,34990
LG,3300,6,Yes,1440,2880,8,4000,128,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,27999
Lenovo,4000,5.5,Yes,1080,1920,10,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,7299
Motorola,3000,5.2,Yes,1080,1920,8,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999
Google,3520,6,Yes,1440,2880,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,12994
Google,2700,5,Yes,1080,1920,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,9994
Motorola,3000,5.2,Yes,1080,1920,8,3000,32,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,12500
Motorola,3000,5.5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8500
Xiaomi,3300,5.7,Yes,720,1440,8,2000,16,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,6499
Xiaomi,4000,5.99,Yes,1080,2160,8,3000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,8699
Jio,2000,2.4,No,240,320,2,512,4,2,0.3,Cyanogen,Yes,Yes,Yes,1,No,Yes,1249
Samsung,3300,5.7,Yes,1080,1920,8,4000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,9890
Motorola,3000,5.5,Yes,1080,1920,8,4000,64,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,10499
Yu,3000,5,Yes,1080,1920,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,5990
Xiaomi,5300,6.44,Yes,1080,1920,8,4000,32,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,8999
Coolpad,4060,5.5,Yes,1080,1920,8,6000,64,13,8,Android,Yes,Yes,No,2,No,Yes,8999
OnePlus,3300,5.5,Yes,1080,1920,8,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,17499
Asus,5000,5.5,Yes,1080,1920,8,4000,64,12,13,Android,Yes,Yes,Yes,2,Yes,Yes,26999
Honor,4000,5.7,Yes,1440,2560,8,6000,128,12,8,Android,Yes,Yes,Yes,2,No,Yes,17586
Micromax,3200,5.5,Yes,1080,1920,8,4000,128,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,13999
Oppo,4000,6,Yes,1080,1920,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,13990
Sony,3230,5.5,Yes,2160,3840,8,4000,64,19,13,Android,Yes,Yes,Yes,2,Yes,Yes,33500
Motorola,3000,5.2,Yes,1080,1920,8,3000,16,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,10900
Asus,5000,5.2,Yes,720,1280,8,3000,32,13,8,Android,Yes,Yes,No,2,Yes,Yes,14999
Samsung,3300,5.7,Yes,1080,1920,1,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,16999
HTC,2500,5.2,Yes,1080,1920,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,15500
HTC,3000,5.7,Yes,1440,2560,4,4000,64,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,54665
Asus,3300,5.7,Yes,1440,2560,4,8000,128,23,8,Android,Yes,Yes,Yes,2,Yes,Yes,49999
Xiaomi,3120,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6999
Xiaomi,4100,5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8999
Nubia,3000,5.2,Yes,1080,1920,8,4000,64,23,13,Android,Yes,Yes,Yes,2,Yes,Yes,16999
Lenovo,3500,5,Yes,1080,1920,4,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,11499
LG,3200,5.7,Yes,1440,2560,4,4000,64,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,26999
Lenovo,4000,5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8500
Sony,2900,5.2,Yes,1080,1920,4,3000,64,23,13,Android,Yes,Yes,Yes,2,Yes,Yes,11999
Samsung,3300,5.5,Yes,1080,1920,8,3000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,15995
Motorola,3510,5.5,Yes,1080,1920,8,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,8990
Xiaomi,4100,5.5,Yes,1080,1920,8,2000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9990
Xiaomi,4100,5,Yes,720,1280,8,3000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8000
Motorola,2600,5.5,Yes,1440,2560,4,4000,64,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,11999
Asus,3000,5.5,Yes,1080,1920,8,4000,64,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,14999
Smartron,3000,5.5,Yes,1080,1920,8,4000,32,13,4,Android,Yes,Yes,Yes,2,Yes,Yes,5490
Motorola,3000,5.5,Yes,1080,1920,8,2000,16,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999
Coolpad,2800,5.5,Yes,1080,1920,8,4000,64,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8499
Xiaomi,4850,6.44,Yes,1080,1920,6,3000,32,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,11990
Lenovo,4100,5.5,Yes,1080,1920,4,3000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7499
LeEco,3000,5.5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,6999
LeEco,3100,5.7,Yes,1440,2560,4,4000,32,21,8,Android,Yes,Yes,Yes,2,Yes,Yes,7790
Huawei,3000,5.2,Yes,1080,1920,8,3000,32,12,8,Android,Yes,Yes,Yes,1,Yes,Yes,39999
Apple,1624,4,Yes,640,1136,1,2000,16,12,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,16999
LG,2800,5.3,Yes,1440,2560,4,4000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,10999
Oppo,2500,5,Yes,720,1280,8,3000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8999
Samsung,2900,5.2,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,19990
Xiaomi,4050,5.5,Yes,1080,1920,6,2000,16,16,5,Android,Yes,Yes,Yes,2,Yes,Yes,6899
HTC,2150,5,Yes,1080,1920,8,3000,32,13,4,Android,Yes,Yes,Yes,1,Yes,Yes,30149
BlackBerry,3410,5.4,Yes,1440,2560,6,3000,32,18,2,Android,Yes,Yes,Yes,1,Yes,Yes,19999
LG,2700,5.2,Yes,1080,1920,6,2000,16,12.3,5,Android,Yes,Yes,Yes,1,Yes,Yes,25990
Apple,1715,4.7,Yes,750,1334,2,2000,16,12,5,iOS,Yes,Yes,Yes,1,Yes,Yes,22999
Lenovo,4900,5.5,Yes,1080,1920,8,2000,32,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,15999
Lenovo,2420,5,Yes,1080,1920,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,10990
Samsung,3000,5.7,Yes,1440,2560,8,4000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,17999
Samsung,3000,5.7,Yes,1440,2560,8,4000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,14999
Motorola,3630,5.5,Yes,1080,1920,8,2000,16,21,5,Android,Yes,Yes,Yes,2,Yes,Yes,7990
Motorola,2470,5,Yes,720,1280,4,1000,8,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,10999
Honor,3100,5.2,Yes,1080,1920,8,3000,16,20,8,Android,Yes,Yes,Yes,1,Yes,Yes,15999
Asus,3000,5.5,Yes,1080,1920,8,2000,16,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,14999
LG,3000,5.5,Yes,1440,2560,6,3000,32,16,8,Android,Yes,Yes,Yes,1,Yes,Yes,13299
Xiaomi,3120,5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,12999
Lenovo,2900,5.5,Yes,1080,1920,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,9999
Motorola,3900,5.2,Yes,1440,2560,4,3000,64,21,2,Android,Yes,Yes,Yes,1,Yes,Yes,31999
Gionee,2700,5.2,Yes,1080,1920,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,15999
Lenovo,2900,5,Yes,1080,1920,8,3000,32,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,9799
Samsung,2600,5.1,Yes,1440,2560,8,3000,32,16,5,Android,Yes,Yes,Yes,1,Yes,Yes,25999
Honor,3600,5.5,Yes,1080,1920,8,3000,32,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,26499
HTC,2600,5.5,Yes,720,1280,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,25500
HTC,2600,5,Yes,1080,1920,4,2000,16,13,5,Android,Yes,Yes,Yes,1,Yes,Yes,28500
Motorola,3220,5.96,Yes,1440,2560,4,3000,32,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,13490
HTC,2400,5.2,Yes,1080,1920,4,2000,16,13,13,Android,Yes,Yes,Yes,1,Yes,Yes,10990
BlackBerry,3450,4.5,Yes,1440,1440,4,3000,32,13,2,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,15999
Apple,2915,5.5,Yes,1080,1920,1,1000,16,8,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,23999
Apple,1810,4.7,Yes,750,1334,2,1000,16,8,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,15999
Motorola,2300,5.2,Yes,1080,1920,4,2000,16,13,2,Android,Yes,Yes,Yes,1,Yes,Yes,23999
Motorola,2070,5,Yes,720,1280,4,1000,16,8,2,Android,Yes,Yes,Yes,2,Yes,No,13500
Sony,2600,4.6,Yes,720,1280,4,2000,16,20.7,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,38990
